% Model,2D-warm-up simulation.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 12 2024, 16:00"
% Table,Table Sensor Evaluation - Point Evaluation 1
% Time (s),"Temperature (K), Point: 4"
3510,228.71707530608523
3520,228.9416297345782
3530,229.1655000050066
3540,229.3886861173704
3550,229.61118807166955
3560,229.83300586790412
3570,230.05413950607408
3580,230.27458898617942
3590,230.49435430822018
3600,230.7134354721963
3610,230.9318324781078
3620,231.14954532595473
3630,231.36657401573706
3640,231.58291854745474
3650,231.79857892110783
3660,232.0135551366963
3670,232.22784719422017
3680,232.44145509367945
3690,232.6543788350741
3700,232.86661841840413
3710,233.0781738436696
3720,233.28904511087038
3730,233.49923222000663
3740,233.70873517107825
3750,233.91755396408524
3760,234.12568859902765
3770,234.33313907590548
3780,234.53990539471863
3790,234.74598755546722
3800,234.95138555815117
3810,235.15609940277054
3820,235.36012908932528
3830,235.56347461781542
3840,235.76613598824093
3850,235.96811320060186
3860,236.1694062548982
3870,236.37001515112988
3880,236.56993988929702
3890,236.76918046939952
3900,236.96773689143734
3910,237.16560915541066
3920,237.3627972613193
3930,237.55930120916338
3940,237.7551209989428
3950,237.95025663065766
3960,238.1447081043079
3970,238.3384754198935
3980,238.53155857741453
3990,238.72395757687096
4000,238.91567241826277
4010,239.10670310158991
4020,239.29704962685253
4030,239.48671199405052
4040,239.67569020318385
4050,239.86398425425264
4060,240.0515941472568
4070,240.23851988219633
4080,240.42476145907125
4090,240.61271413990562
4100,240.80165826311344
4110,240.9900372505995
4120,241.17785110236386
4130,241.3650998184065
4140,241.5517833987274
4150,241.73790184332663
4160,241.92345515220407
4170,242.10844332535984
4180,242.29286636279392
4190,242.47672426450623
4200,242.66001703049682
4210,242.84274466076567
4220,243.02490715531286
4230,243.2065045141383
4240,243.38753673724204
4250,243.56800382462404
4260,243.7479057762843
4270,243.92724259222288
4280,244.1060142724397
4290,244.28422081693486
4300,244.46186222570824
4310,244.63893849875996
4320,244.8154496360899
4330,244.99139563769816
4340,245.1667765035847
4350,245.3415922337495
4360,245.5158428281926
4370,245.68952828691397
4380,245.86264860991363
4390,246.03520379719157
4400,246.20719384874778
4410,246.37861876458226
4420,246.54947854469503
4430,246.71977318908614
4440,246.88950269775546
4450,247.05866707070308
4460,247.22726630792894
4470,247.39530040943316
4480,247.5627693752156
4490,247.72967320527636
4500,247.8960118996154
4510,248.0617854582327
4520,248.22699388112827
4530,248.3916371683021
4540,248.55571531975426
4550,248.71922833548467
4560,248.88217621549342
4570,249.0445589597804
4580,249.20637656834566
4590,249.36762904118922
4600,249.52831637831105
4610,249.68843857971115
4620,249.84799564538955
4630,250.00698757534624
4640,250.16541436958116
4650,250.3232760280944
4660,250.48057255088597
4670,250.63730393795572
4680,250.79347018930383
4690,250.94907130493013
4700,251.1041072848348
4710,251.2585781290177
4720,251.4124838374789
4730,251.5658244102184
4740,251.71859984723616
4750,251.8723771703231
4760,252.02799747600207
4770,252.1831695532261
4780,252.33789340199525
4790,252.49216902230947
4800,252.6459964141687
4810,252.79937557757307
4820,252.95230651252245
4830,253.1047892190169
4840,253.2568236970565
4850,253.40840994664114
4860,253.55954796777084
4870,253.71023776044564
4880,253.86047932466548
4890,254.01027266043036
4900,254.15961776774034
4910,254.30851464659543
4920,254.45696329699558
4930,254.6049637189408
4940,254.75251591243108
4950,254.89961987746645
4960,255.04627561404686
4970,255.19248312217235
4980,255.33824240184293
4990,255.4835534530586
5000,255.62841627581932
5010,255.7728308701251
5020,255.91679723597596
5030,256.06031537337185
5040,256.20338528231287
5050,256.346006962799
5060,256.48818041483014
5070,256.6299056384064
5080,256.7711826335277
5090,256.91201140019405
5100,257.0523919384055
5110,257.192324248162
5120,257.33180832946357
5130,257.47084418231026
5140,257.609431806702
5150,257.74757120263877
5160,257.88526237012064
5170,258.0225053091476
5180,258.15930001971964
5190,258.29564650183676
5200,258.4315447554989
5210,258.5669947807062
5220,258.7019965774585
5230,258.8365501457559
5240,258.9706554855983
5250,259.10431259698584
5260,259.2375214799185
5270,259.3702821343961
5280,259.5025945604189
5290,259.6344587579867
5300,259.76587472709963
5310,259.89684246775755
5320,260.02736197996063
5330,260.15743326370875
5340,260.2870563190019
5350,260.4162311458402
5360,260.5449577442235
5370,260.6732361141519
5380,260.8010662556254
5390,260.9284481686439
5400,261.05538185320756
5410,261.18248082944825
5420,261.31160255284027
5430,261.44036729828065
5440,261.5687750657695
5450,261.69682585530677
5460,261.82451966689257
5470,261.9518565005268
5480,262.0788363562095
5490,262.20545923394064
5500,262.3317251337202
5510,262.4576340555483
5520,262.58318599942476
5530,262.7083809653497
5540,262.8332189533231
5550,262.957699963345
5560,263.08182399541533
5570,263.2055910495341
5580,263.3290011257014
5590,263.45205422391706
5600,263.5747503441812
5610,263.69708948649384
5620,263.8190716508549
5630,263.9406968372644
5640,264.0619650457224
5650,264.1828762762288
5660,264.30343052878374
5670,264.4236278033871
5680,264.54346810003887
5690,264.6629514187391
5700,264.78207775948783
5710,264.90084712228503
5720,265.01925950713064
5730,265.1373149140247
5740,265.2550133429673
5750,265.37235479395827
5760,265.4893392669977
5770,265.60596676208564
5780,265.722237279222
5790,265.8381508184068
5800,265.9537073796401
5810,266.06890696292186
5820,266.18374956825204
5830,266.2982351956307
5840,266.4123638450578
5850,266.5261355165333
5860,266.63955021005734
5870,266.75260792562983
5880,266.86530866325074
5890,266.97765242292013
5900,267.089639204638
5910,267.20126900840427
5920,267.312541834219
5930,267.42345768208224
5940,267.5340165519939
5950,267.644218443954
5960,267.7540633579626
5970,267.86355129401966
5980,267.97268225212514
5990,268.08145623227904
6000,268.18987323448147
6010,268.2979332587323
6020,268.40563630503163
6030,268.51298237337943
6040,268.61997146377564
6050,268.72660357622027
6060,268.8328787107135
6070,268.9388027102368
6080,269.0467302752196
6090,269.15437128516385
6100,269.26172574006944
6110,269.36879363993637
6120,269.47557498476476
6130,269.5820697745545
6140,269.6882780093056
6150,269.7941996890181
6160,269.899834813692
6170,270.0051833833273
6180,270.11024539792385
6190,270.21502085748193
6200,270.31950976200136
6210,270.4237121114822
6220,270.5276279059243
6230,270.6312571453279
6240,270.7345998296928
6250,270.8376559590192
6260,270.94042553330684
6270,271.04290855255596
6280,271.1451050167664
6290,271.2470149259383
6300,271.3486382800715
6310,271.44997507916617
6320,271.5510253232221
6330,271.65178901223953
6340,271.7522661462183
6350,271.85245672515845
6360,271.95236074905995
6370,272.05197821792285
6380,272.15130913174715
6390,272.25035349053286
6400,272.3491112942799
6410,272.44758254298836
6420,272.54576723665815
6430,272.6436653752894
6440,272.741276958882
6450,272.838601987436
6460,272.93564046095133
6470,273.0323923794281
6480,273.1288577428662
6490,273.2250365512657
6500,273.3209288046266
6510,273.4165345029489
6520,273.5118536462325
6530,273.60688623447754
6540,273.701632267684
6550,273.79609174585175
6560,273.89026466898093
6570,273.9841510370715
6580,274.0777508501235
6590,274.1710641081368
6600,274.26409081111154
6610,274.3568309590476
6620,274.4492845519451
