% Model,2D-warm-up simulation.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 12 2024, 16:00"
% Table,Table Cavity max - Surface Maximum 1
% Time (s),Temperature (K)
3430,229.5309800927234
3440,229.75276980230217
3450,229.97390579229153
3460,230.1943880626915
3470,230.41421661350205
3480,230.63339144472315
3490,230.85191255635488
3500,231.06977994839716
3510,231.28699362085004
3520,231.5035535737135
3530,231.7194598069875
3540,231.93471232067213
3550,232.14931111476733
3560,232.36325618927316
3570,232.5765475441895
3580,232.78918517951647
3590,233.00116909525397
3600,233.21249929140214
3610,233.4231757679608
3620,233.63319852493015
3630,233.84256756231
3640,234.05128288010044
3650,234.2593444783015
3660,234.46675235691308
3670,234.67350651593532
3680,234.87960695536808
3690,235.08505367521147
3700,235.2898466754654
3710,235.49398595613
3720,235.6974715172051
3730,235.90030335869082
3740,236.10248148058707
3750,236.30400588289393
3760,236.5048765656114
3770,236.70509352873944
3780,236.90465677227806
3790,237.10356629622729
3800,237.30182210058706
3810,237.4994241853574
3820,237.69637255053843
3830,237.89266719612993
3840,238.08830812213208
3850,238.28329532854477
3860,238.47762881536804
3870,238.6713085826019
3880,238.86433463024636
3890,239.05670695830142
3900,239.24842556676703
3910,239.43949045564324
3920,239.62990162493003
3930,239.81965907462742
3940,240.00876280473534
3950,240.19721281525392
3960,240.38500910618305
3970,240.57215167752273
3980,240.758640529273
3990,240.9444756614339
4000,241.12965707400537
4010,241.31418476698738
4020,241.49805874038003
4030,241.68127899418323
4040,241.86384552839704
4050,242.04575834302142
4060,242.22701743805638
4070,242.4076228135019
4080,242.587574469358
4090,242.76913105574945
4100,242.95161395642688
4110,243.13355537151142
4120,243.314955301003
4130,243.49581374490168
4140,243.67613070320738
4150,243.8559061759202
4160,244.03514016304015
4170,244.21383266456712
4180,244.3919836805012
4190,244.56959321084233
4200,244.74666125559054
4210,244.92318781474586
4220,245.09917288830826
4230,245.2746164762777
4240,245.44951857865425
4250,245.62387919543787
4260,245.79769832662856
4270,245.97097597222634
4280,246.14371213223123
4290,246.3159068066432
4300,246.4875599954622
4310,246.6586716986883
4320,246.82924191632148
4330,246.99927064836172
4340,247.16875789480912
4350,247.33770365566352
4360,247.506107930925
4370,247.6739707205936
4380,247.84129202466926
4390,248.00807184315198
4400,248.1743101760418
4410,248.34000702333873
4420,248.5051623850427
4430,248.66977626115374
4440,248.8338486516719
4450,248.9973795565971
4460,249.16036897592946
4470,249.3228169096688
4480,249.48472335781528
4490,249.6460883203688
4500,249.80691179732943
4510,249.96719378869716
4520,250.12693429447194
4530,250.2861333146538
4540,250.4447908492427
4550,250.60290689823873
4560,250.76048146164186
4570,250.91751453945207
4580,251.0740061316693
4590,251.22995623829362
4600,251.38536485932505
4610,251.54023199476353
4620,251.69455764460912
4630,251.84834180886182
4640,252.00158448752154
4650,252.15428568058837
4660,252.30644538806223
4670,252.45806360994322
4680,252.60914034623127
4690,252.75967559692643
4700,252.90966936202867
4710,253.05912164153796
4720,253.20803243545433
4730,253.35640174377778
4740,253.50422956650831
4750,253.65300573054193
4760,253.80352989816095
4770,253.95362372834805
4780,254.10328722110333
4790,254.2525203764268
4800,254.40132319431828
4810,254.54969567477798
4820,254.6976378178058
4830,254.8451496234018
4840,254.99223109156588
4850,255.13888222229812
4860,255.28510301559854
4870,255.43089347146707
4880,255.57625358990373
4890,255.72118337090853
4900,255.86568281448152
4910,256.0097519206226
4920,256.1533906893318
4930,256.2965991206092
4940,256.4393772144547
4950,256.5817249708683
4960,256.7236423898501
4970,256.86512947140005
4980,257.00618621551814
4990,257.1468126222043
5000,257.2870086914587
5010,257.42677442328113
5020,257.56610981767176
5030,257.70501487463054
5040,257.84348959415746
5050,257.9815339762525
5060,258.11914802091565
5070,258.256331728147
5080,258.3930850979465
5090,258.52940813031404
5100,258.66530082524986
5110,258.8007631827537
5120,258.9357952028257
5130,259.07039688546587
5140,259.2045682306742
5150,259.3383092384507
5160,259.4716199087952
5170,259.60450024170797
5180,259.7369502371888
5190,259.8689698952378
5200,260.000559215855
5210,260.1317181990403
5220,260.26244684479366
5230,260.39274515311524
5240,260.522613124005
5250,260.6520507574628
5260,260.7810580534888
5270,260.9096350120829
5280,261.0377816332452
5290,261.1654979169756
5300,261.29278386327405
5310,261.4196394721408
5320,261.5460647435756
5330,261.67205967757855
5340,261.7976242741497
5350,261.9227585332889
5360,262.04746245499626
5370,262.1717360392718
5380,262.29557928611547
5390,262.41899219552727
5400,262.5419747675072
5410,262.6651115266557
5420,262.79017214337523
5430,262.91488936058266
5440,263.03926317827796
5450,263.1632935964613
5460,263.2869806151325
5470,263.4103242342917
5480,263.5333244539388
5490,263.65598127407384
5500,263.77829469469685
5510,263.90026471580774
5520,264.02189133740654
5530,264.1431745594934
5540,264.2641143820681
5550,264.38471080513074
5560,264.5049638286814
5570,264.6248734527199
5580,264.74443967724636
5590,264.8636625022608
5600,264.9825419277632
5610,265.1010779537534
5620,265.2192705802317
5630,265.33711980719784
5640,265.45462563465196
5650,265.57178806259395
5660,265.688607091024
5670,265.8050827199419
5680,265.92121494934776
5690,266.0370037792415
5700,266.1524492096232
5710,266.2675512404929
5720,266.3823098718505
5730,266.49672510369606
5740,266.6107969360295
5750,266.72452536885095
5760,266.8379104021603
5770,266.9509520359575
5780,267.06365027024276
5790,267.1760051050159
5800,267.28801654027706
5810,267.39968457602606
5820,267.51100921226305
5830,267.62199044898796
5840,267.7326282862008
5850,267.8429227239016
5860,267.9528737620903
5870,268.06248140076696
5880,268.17174563993154
5890,268.2806664795841
5900,268.38924391972455
5910,268.49747796035297
5920,268.6053686014693
5930,268.7129158430736
5940,268.8201196851658
5950,268.926980127746
5960,269.03349717081403
5970,269.1396708143701
5980,269.2455010584141
5990,269.350987902946
6000,269.4561313479658
6010,269.5609313934736
6020,269.6653880394693
6030,269.76950128595297
6040,269.8732711329245
6050,269.9766975803841
6060,270.07978062833155
6070,270.18252586162566
6080,270.2871839580547
6090,270.39156596684023
6100,270.4956718879823
6110,270.599501721481
6120,270.7030554673361
6130,270.80633312554784
6140,270.90933469611616
6150,271.01206017904093
6160,271.1145095743223
6170,271.21668288196025
6180,271.31858010195464
6190,271.42020123430564
6200,271.52154627901325
6210,271.6226152360773
6220,271.7234081054979
6230,271.8239248872751
6240,271.92416558140883
6250,272.02413018789906
6260,272.1238187067459
6270,272.22323113794926
6280,272.3223674815091
6290,272.42122773742557
6300,272.51981190569853
6310,272.6181199863281
6320,272.7161519793142
6330,272.81390788465677
6340,272.91138770235597
6350,273.00859143241166
6360,273.1055190748239
6370,273.20217062959273
6380,273.29854609671804
6390,273.3946454761999
6400,273.49046876803834
6410,273.5860159722333
6420,273.68128708878487
6430,273.7762821176929
6440,273.8710010589575
6450,273.9654439125787
6460,274.05961067855634
6470,274.15350135689056
6480,274.2471159475814
6490,274.3404544506287
6500,274.43351686603256
6510,274.526303193793
6520,274.61881343390996
6530,274.7110475863835
6540,274.80300565121354
6550,274.8946876284001
6560,274.9860935179433
6570,275.077223319843
6580,275.1680770340992
6590,275.25865466071195
6600,275.34895619968125
6610,275.43898165100717
6620,275.5287310146896
